,0,1,2,3,4,5,6,7,8,9,10,11
3,cdaR,ulaA,yjgK,yjhB,yjiD,yjjA,wild_type,sgcE,ygiQ,rhtB,frlC,yfdI
4,JW5014,JW5030,JW5745,JW5757,JW5769,JW5783,JW5796,JW5429,JW5509,JW5586,JW5708,JW5016
5,yaeI,yagV,ytfB,yjgL,yjhC,yjiH,yjjP,srlA,yqiI,rhtC,smf,yaeF
6,JW5031,JW5746,JW5758,JW5770,JW5784,JW5797,JW5430,JW5518,JW5591,JW5946,JW5017,JW5033
7,ykgK,fklB,yjgM,yjhD,kptA,yjjZ,srlE,yhaM,yigE,gntR,yafD,ykgL
8,JW5747,JW5759,JW5952,JW5785,JW5467,JW5520,JW5596,wild_type,JW5748,JW5005,JW5019,JW5037
9,ytfH,yjgN,yjhU,yjiL,ygfQ,tdcG,rffT,wild_type,ytfI,yabI,yafV,ykgA
10,JW5749,JW5763,JW5775,JW5786,JW5477,JW5558,JW5610,JW5752,JW5008,JW5020,JW5039,JW5042
11,ytfK,yjgX,yjhH,yjiM,yggP,cpxP,yieM,ytfR,yacG,fadE,ykgI,ykgG
12,JW5059,wild_type,JW5082,JW5098,JW5126,JW5139,JW5158,JW5173,JW5187,JW5208,JW5893,JW5062
13,yajR,wild_type,cusS,ybgO,ycbX,ycdL,ycfP,icdC,dhaK,lar,yahH,ylaB
14,JW5083,JW5099,JW5113,JW5127,JW5147,JW5159,JW5174,JW5196,JW5210,JW5224,JW5044,JW5063
15,ybdF,ybgQ,ybjI,ymbA,ycdZ,ycfQ,ycgG,yciO,ydaG,cybB,yahM,ylaC
0,JW5086,JW5102,JW5114,JW5128,JW5150,JW5901,JW5197,JW5211,JW5226,JW5066,JW5090,JW5103
1,fepA,ybhT,ybjK,yccS,ymdC,ycgH,yciQ,ydaW,ydcI,ybbM,ybeB,ybhJ
2,JW5116,JW5130,JW5151,JW5164,JW5178,JW5200,JW5228,JW5051,JW5070,JW5091,JW5105,JW5131
3,ybjT,yccU,yceK,ymfA,ymgG,yciW,ydcM,yaiU,ybcJ,ybeQ,ybiX,yccX
4,JW5152,JW5166,JW5180,JW5202,JW5216,JW5229,JW5053,JW5073,JW5094,JW5107,JW5120,JW5133
5,yceP,ymfE,ycgN,ycjR,ydbL,ydcO,yaiZ,fimZ,ybfG,ybiN,ycaI,ymcD
6,JW5153,wild_type,JW5168,JW5181,JW5205,JW5217,JW5232,JW5056,JW5079,JW5095,JW5108,JW5123
7,flgH,wild_type,ymfI,hlyE,abgA,paaD,ydcX,yajI,rzpD,ybfH,ybiO,ycbV
8,JW5136,JW5155,JW5169,JW5185,JW5206,JW5221,JW5233,JW5058,JW5081,JW5096,JW5109,JW5124
9,ymdF,yceF,ymfT,dhaH,ydaM,ydbD,yncA,yajQ,ybcV,kdpE,fsaA,ycbF
10,JW5137,JW5157,JW5172,JW5186,JW5207,JW5177,JW5237,JW5248,wild_type,JW5265,JW5276,JW5291
11,ycdG,ycfM,stfE,dhaL,ydaQ,ymgD,yncM,marR,wild_type,ydgJ,ydiQ,yeaJ
12,JW5303,JW5317,JW5339,JW5352,JW5371,JW5388,wild_type,JW5405,JW5238,JW5249,JW5267,JW5280
13,yebW,yodD,yegP,yehT,yfaZ,ypdA,wild_type,yphG,sfcA,marA,slyA,pfkB
14,JW5292,JW5306,JW5319,JW5340,JW5353,JW5372,JW5389,JW5406,JW5239,JW5250,JW5283,JW5295
15,yeaP,yebB,yedS,gatR,yehU,yfbE,ypdH,yphH,bdm,eamA,ydjY,yoaB
0,JW5307,JW5323,JW5344,JW5355,JW5373,JW5391,JW5407,JW5240,JW5252,JW5284,JW5296,JW5308
1,yecD,yodB,fbaB,pbpG,yfbJ,yfeA,yfhK,ddpA,ydfO,ynjB,yoaC,yecN
2,JW5345,JW5356,JW5376,JW5408,JW5241,JW5253,JW5270,JW5285,JW5309,JW5329,JW5346,JW5358
3,yegX,yohC,yfbT,yfhB,yddV,gnsB,ydhO,ynjC,yecM,dacD,yohN,yohH
4,JW5377,JW5395,JW5409,JW5243,JW5255,JW5272,JW5287,JW5300,JW5310,JW5335,JW5349,JW5361
5,yfcE,yfeW,yfiP,ydeN,essQ,ydhV,ynjE,proQ,yecT,nudD,yehL,yeiW
6,JW5380,JW5400,JW5412,JW5245,JW5273,JW5288,wild_type,JW5301,JW5312,JW5336,JW5350,wild_type
7,trmC,yfgH,yfiL,yneE,sufB,ynjI,wild_type,yebU,otsA,yegH,yehP,wild_type
8,JW5362,JW5381,JW5402,JW5415,JW5247,JW5263,JW5275,JW5289,JW5302,JW5338,JW5351,JW5384
9,yeiP,yfcM,yfgJ,yfjD,yneI,clcB,ydiO,ydjH,yebV,mdtA,yehR,yfdL
10,JW5404,JW5418,JW5419,JW5438,JW5455,JW5481,JW5776,JW5507,JW0696,JW1282,JW2729,JW0026
11,sseB,yfjO,yfjP,ygbF,yqeJ,mltC,sgcX,yqiG,ybfD,ycjD,ygcK,fkpB
12,JW1464,JW5198,JW5422,JW5456,JW5503,JW5800,JW5542,JW1822,JW0272,JW2875,JW5948,JW5424
13,narU,yciX,ypjA,ygeI,tolC,nadR,yhdP,yebS,yagL,ubiH,yhfZ,ypjC
14,JW5440,JW5457,JW5441,JW3566,JW2528,JW0746,JW2758,JW4064,JW2549,wild_type,JW5426,JW5444
15,ygcQ,pbl,ygcR,rhsA,yphB,modA,gudD,phnE,recO,wild_type,yqaC,ygcE
0,JW5458,JW5531,JW5805,JW0692,JW0194,JW0055,JW3381,JW4056,JW4367,JW2564,JW5427,JW5445
1,ygeK,deaD,hyfI,ybfO,metI,yabP,malT,phnM,thrL,ung,ygaT,ygcG
2,JW5460,JW5803,JW0689,wild_type,JW0323,JW0285,JW3386,JW3518,JW5416,JW5428,JW5450,JW5461
3,ygeN,ybhR,rhsC,wild_type,prpB,yagX,glpR,tag,recN,ygaY,ygdB,ygeQ
4,JW5577,JW5142,JW1730,JW0345,JW1651,JW3530,JW5076,JW2703,JW5431,wild_type,JW5451,JW5475
5,yigZ,ycdR,ydjQ,yaiL,ydhB,glyS,ylcG,mutS,gutQ,wild_type,ppdB,rpiA
